,order_status,payment_type,review_score,price,product_photos_qty,time_different_hour,delivered_on_time,delivered_hour,delivered_season,seller_count
0,0,1,0,3,1,1,0,2,0,3
1,0,1,0,1,1,1,0,3,0,3
2,0,1,0,1,1,1,0,3,0,3
3,0,1,0,2,1,1,0,4,1,3
4,0,1,0,3,1,1,0,2,1,3
5,0,4,0,3,1,7,0,4,1,3
6,0,2,0,5,1,4,0,4,1,3
7,0,1,0,3,1,1,0,1,0,3
8,0,1,0,2,1,1,0,2,1,3
9,0,1,0,2,1,1,0,2,1,3
10,0,1,0,2,1,1,0,2,1,3
11,0,1,0,2,1,1,0,2,1,3
12,0,1,1,3,1,1,0,3,1,3
13,0,1,1,3,1,1,0,3,1,3
14,0,1,1,3,1,1,0,3,1,3
15,0,1,0,2,1,1,0,3,1,3
16,0,1,0,3,1,1,0,3,1,3
17,0,2,0,2,1,4,0,1,0,3
18,0,1,1,3,1,1,1,3,0,3
19,0,1,0,2,1,1,0,2,1,3
20,0,1,0,2,1,1,0,2,1,3
21,0,1,0,3,1,1,0,4,1,3
22,0,1,0,2,1,1,0,3,0,3
23,0,1,0,3,1,1,0,2,0,3
24,0,2,0,3,1,4,0,2,0,3
25,0,2,0,3,1,4,0,2,0,3
26,0,1,0,3,1,1,0,1,0,3
27,0,1,0,2,1,2,0,4,0,3
28,0,2,0,3,1,6,0,4,0,3
29,0,1,0,1,1,1,0,3,1,3
30,0,2,0,3,1,8,0,3,1,3
31,0,2,0,3,1,8,0,3,1,3
32,0,1,0,2,1,1,0,2,0,3
33,0,1,0,3,1,1,0,2,0,3
34,0,1,0,3,1,1,0,3,1,3
35,0,1,0,3,1,2,0,2,1,3
36,0,2,0,3,1,4,0,3,0,3
37,0,2,1,3,1,7,0,2,0,3
38,0,2,1,3,1,7,0,2,0,3
39,0,2,1,3,1,7,0,2,0,3
40,0,1,0,3,1,1,0,1,1,3
41,0,1,0,3,1,5,0,3,1,3
42,0,1,0,3,1,1,0,3,1,3
43,0,1,0,3,1,1,0,3,1,3
44,0,1,0,3,1,1,0,3,1,3
45,0,2,0,3,1,4,0,3,0,3
46,0,1,0,3,1,1,0,2,0,3
47,0,1,0,3,1,1,0,2,0,3
48,0,1,0,3,1,1,0,2,0,3
49,0,1,0,3,1,1,0,3,0,3
50,0,1,0,2,1,1,0,2,0,3
51,0,1,0,3,1,1,0,2,0,3
52,0,1,0,2,1,1,0,2,0,3
53,0,2,0,2,1,4,0,1,0,3
54,0,2,0,2,1,4,0,1,0,3
55,0,2,0,3,1,8,0,2,1,3
56,0,2,0,4,1,7,0,2,1,3
57,0,1,0,2,1,5,1,2,1,3
58,0,1,0,2,1,5,1,2,1,3
59,0,1,0,3,1,1,0,1,0,3
60,0,1,0,3,1,1,0,1,0,3
61,0,1,0,3,1,1,0,1,0,3
62,0,1,0,2,1,1,0,1,1,3
63,0,1,0,3,1,1,0,4,1,3
64,0,1,0,3,1,1,0,1,0,3
65,0,1,1,4,1,1,0,3,1,3
66,0,1,1,3,1,5,0,4,1,3
